caseid	gender	race	c1rrscal	c1rrttsco	c1rmscal	c1rmtsco	c1rgscal	c1rgtsco	c1fmotor	c1gmotor	c2rrscal	c2rrtsco	c2rmscal	c2rmtsco	c2rgscal	c2rgtsco	c3rrscal	c3rrtsco	c3rmscal	c3rmtsco	c3rgscal	c3rgtsco	c4rrscal	c4rrtsco	c4rmscal	c4rmtsco	c4rgscal	c4rgtsco	p1learn	p1contro	p1social	t1learn	t1contro	t1interp	t1extern	t1intern	p1center	p1disabl	p1htotal	p1hfamil	p1firkdg	p1hrsprk	wkmomed	wkdaded	wklangst	wksesl	wksesq5	s2kpupri	p1count	lower(az1)	p1pencil	p1still	p1letter	p1verbal	p1expect	p1readbo	p1tellst	p1singso	p1helpar	p1chores	p1games	p1nature	p1build	p1sport	p1chlboo	p1chsesa	p2librar	p2safepl	p2garbag	p2drug	p2burglr	p2violen	p2vacant	p2bktog	ses_orig	rv
895	2	5	12	30	12	38	11	34	4	8	20	36	15	34	19	40	28	42	22	40	23	42	50	48	38	45	30	44	2.83	3.00	3.33	2.00	3.50	3.00	1.20	1.75	1	2	5	3	1	40	5	3	1	44	3	1	2	2	3	2	3	2	4	3	2	3	3	3	2	2	1	1	10	2	1	3	3	3	3	3	3	2	-0.06	0.01
896	2	1	24	53	21	54	25	55	3	8	37	56	21	45	34	59	48	58	39	57	35	55	68	58	46	53	40	57	3.33	3.00	2.33	3.67	3.67	3.60	1.20	2.50	2	2	6	1	1	0	3	5	2	44	3	1	2	1	2	2	2	1	1	3	3	4	2	4	3	2	2	2	50	1	2	3	3	3	3	3	3	7	-0.13	0.68
897	2	1	27	57	21	54	36	68	6	5	41	59	26	50	37	63	40	53	35	54	40	63	66	57	43	51	41	59	3.00	3.60	4.00	2.83	2.00	2.20	2.80	1.25	1	2	4	1	1	59	3	3	2	44	3	1	2	1	2	2	1	2	4	4	3	4	3	3	3	2	2	1	75	1	1	2	3	3	3	3	3	5	-0.08	0.89
898	1	3	28	58	31	65	24	53	6	7	37	56	38	61	26	49	43	55	49	65	40	62	50	48	54	61	42	61	2.67	2.40	2.33	3.17	3.33	2.60	1.20	1.25	1	1	5	1	1	7	5	3	2	44	3	1	2	1	1	2	1	2	3	4	3	3	3	2	3	3	3	2	70	1	1	2	3	3	3	3	3	0	-0.13	0.21
899	2	1	19	47	19	52	20	49	7	7	29	48	28	53	22	44	32	47	34	53	32	52	61	54	50	57	33	48	3.17	3.40	3.00	3.00	3.50	3.40	1.20	2.25	1	2	3	2	1	40	3	5	2	44	3	1	2	1	1	1	1	2	4	4	4	4	3	4	3	2	2	3	100	2	2	3	3	3	3	3	3	6	-0.09	0.88
900	1	1	25	54	28	62	23	52	7	8	31	50	36	60	30	54	47	58	38	56	41	64	60	54	46	53	40	57	2.67	3.00	2.00	2.33	3.00	3.00	1.00	1.75	2	2	5	1	1	45	5	3	2	44	3	1	3	2	3	2	3	2	4	2	2	3	2	2	2	1	3	3	50	1	1	3	3	3	3	3	3	2	-0.11	0.92
901	2	1	21	50	22	56	28	58	8	6	36	55	36	60	30	54	45	57	41	59	30	49	66	57	51	58	34	49	3.00	2.80	3.33	2.17	2.67	3.00	1.20	2.00	1	2	3	2	1	69	3	3	2	44	3	1	2	1	1	1	2	1	3	3	2	2	3	3	3	2	2	3	150	1	1	3	3	3	3	3	3	7	-0.12	0.72
902	1	1	13	36	14	43	20	48	6	6	26	44	23	47	26	49	34	49	30	49	30	50	41	42	43	51	38	54	3.33	3.20	3.00	2.83	3.75	3.20	1.00	1.25	2	2	7	1	1	0	5	3	2	44	3	1	4	1	3	1	3	1	4	4	4	4	4	4	4	3	4	4	60	2	1	3	3	3	3	3	3	7	-0.14	0.93
903	2	1	23	52	21	55	28	58	4	5	30	49	25	50	26	50	45	57	33	51	30	50	53	50	36	44	36	52	4.00	2.80	4.00	2.50	3.75	3.00	1.40	1.00	1	2	3	2	1	70	5	5	2	44	3	1	2	1	1	1	2	1	4	3	3	2	2	4	3	2	2	3	45	2	1	3	3	3	3	3	3	2	-0.10	0.42
904	1	1	24	53	20	53	36	67	8	8	41	59	38	62	40	67	47	58	45	62	42	65	66	57	46	54	44	64	2.33	2.20	2.33	2.00	2.50	2.75	1.80	1.25	1	2	5	1	1	9	3	3	2	44	3	2	1	2	3	2	1	3	2	3	2	1	2	3	2	3	2	4	30	1	2	3	3	3	3	3	3	5	-0.13	0.99
905	1	7	19	47	19	51	19	47	9	8	29	48	39	63	22	44	31	46	37	55	23	42	49	47	47	54	36	51	2.50	3.00	3.67	3.67	3.00	3.00	1.40	1.25	1	2	6	1	1	30	5	5	2	44	3	1	3	2	3	2	3	2	4	3	2	4	3	4	4	2	3	4	60	1	2	3	3	3	3	3	3	2	-0.13	0.51
906	2	7	16	42	19	51	25	55	7	6	29	49	26	50	27	50	31	46	31	50	26	46	56	51	40	48	32	47	3.00	3.00	3.67	4.00	3.50	3.80	1.20	1.25	1	2	6	1	1	39	5	4	2	44	3	1	2	2	3	3	2	2	5	3	3	3	2	4	2	2	1	3	40	1	2	3	3	3	3	3	1	1	-0.11	0.40
907	1	1	22	51	15	44	11	35	0	1	22	39	14	33	16	37	25	39	19	35	18	35	25	25	17	19	19	31	3.83	2.40	3.00	2.50	3.00	2.60	2.80	2.00	1	2	4	1	1	9	3	3	2	44	3	1	2	1	1	1	1	1	4	4	4	3	3	4	4	3	4	4	50	1	1	2	3	2	2	3	3	3	-0.06	0.51
908	2	1	18	45	24	59	24	54	3	6	28	47	26	51	26	49	36	50	32	51	30	50	52	49	51	58	35	50	3.33	2.80	4.00	3.33	3.00	3.00	1.20	1.25	2	2	4	1	1	0	5	5	2	44	3	1	3	2	2	2	3	2	3	3	2	3	4	4	3	2	1	2	100	2	1	3	3	3	3	3	3	5	-0.11	0.98
909	1	1	19	46	10	35	17	44	6	6	33	52	21	45	19	41	36	51	22	41	27	46	46	45	32	39	36	52	2.67	2.80	3.00	2.50	2.50	2.25	2.00	1.75	1	2	3	2	1	40	5	2	2	44	3	1	1	2	1	1	2	1	3	2	2	4	4	3	2	2	2	3	100	2	1	3	3	3	3	3	3	2	-0.06	0.81
910	2	1	27	57	23	56	17	45	9	8	35	54	36	60	30	54	39	53	45	62	30	50	54	50	58	65	37	53	2.83	2.80	3.33	4.00	4.00	3.80	1.20	1.00	2	1	5	1	1	8	4	4	2	44	3	1	3	2	3	3	2	2	3	2	3	4	4	4	4	2	2	4	30	1	1	3	3	3	3	3	3	5	-0.12	0.90
911	2	1	21	50	14	42	20	48	9	4	35	55	22	45	27	50	40	53	37	55	28	47	49	47	55	62	35	51	3.17	3.00	4.00	3.40	4.00	3.80	1.20	1.00	2	2	5	1	1	0	5	3	2	44	3	1	3	2	2	3	3	2	4	2	2	2	3	4	2	3	3	2	100	2	1	3	3	3	3	3	3	5	-0.09	0.12
912	1	2	23	53	29	62	27	57	3	8	36	56	24	48	25	48	40	54	41	59	35	56	34	36	41	48	29	44	3.83	2.80	3.67	2.40	2.25	2.20	2.60	1.75	1	2	4	1	1	43	3	3	2	44	3	1	2	2	2	2	2	2	6	3	3	3	3	4	3	3	3	3	200	1	1	3	3	3	3	3	3	3	-0.10	0.38
913	1	1	22	51	24	58	29	59	7	6	37	56	41	64	35	60	36	51	44	62	35	56	56	51	51	58	41	58	2.67	3.40	2.00	3.33	3.25	3.60	1.20	1.25	2	1	4	1	1	0	5	5	2	44	3	1	3	2	3	2	3	2	4	4	2	2	4	2	4	3	3	3	50	2	1	3	3	3	3	3	3	7	-0.09	0.84
914	1	1	34	64	26	60	34	65	7	8	37	56	43	66	37	62	38	52	49	66	41	63	52	49	55	62	43	62	3.17	2.20	3.33	4.00	3.75	3.80	1.40	1.50	1	1	5	1	1	45	5	3	2	44	3	1	3	3	2	2	3	1	4	2	2	2	3	3	2	2	3	2	100	2	2	2	3	3	3	3	3	7	-0.11	0.31
915	1	2	29	59	17	48	25	54	5	8	32	52	30	54	29	53	27	41	25	44	32	52	45	45	43	51	33	48	3.17	3.40	4.00	3.00	3.25	3.40	1.40	1.00	1	2	3	2	1	74	5	4	2	44	3	1	3	2	2	2	2	1	6	3	4	4	3	4	3	2	2	3	150	2	1	3	3	3	3	3	3	7	-0.06	0.04
916	2	2	36	66	24	58	19	47	7	8	37	56	31	55	20	42	45	57	42	60	26	45	71	60	43	50	32	48	3.17	3.00	3.00	3.17	3.00	2.80	2.00	1.50	1	2	4	1	1	30	5	4	2	44	3	2	2	2	2	2	2	3	6	3	3	3	2	4	3	2	2	2	50	1	1	3	3	3	3	3	3	2	-0.14	0.62
917	1	1	27	57	20	53	29	59	9	4	38	57	39	63	33	57	41	54	39	57	41	64	69	59	52	59	46	67	3.17	2.40	3.00	3.00	2.50	2.60	2.60	2.00	1	2	3	2	1	50	5	3	2	44	3	2	2	1	1	1	1	1	4	3	2	2	3	2	2	2	3	2	150	2	2	3	3	3	3	3	3	2	-0.13	0.34
918	2	1	22	51	20	52	19	46	6	8	39	57	40	63	23	46	49	59	46	63	26	45	67	58	47	54	36	52	3.00	2.60	3.67	3.67	3.50	3.00	1.40	1.75	2	2	5	1	1	9	3	3	2	44	3	1	2	2	2	2	3	2	3	2	1	4	2	3	2	2	1	4	50	1	1	3	3	3	3	3	3	7	-0.06	0.53
919	1	1	19	47	14	43	15	42	3	4	46	61	29	53	21	44	41	54	29	47	24	42	77	64	45	52	37	53	3.00	2.40	4.00	2.17	2.50	2.00	1.80	2.00	1	2	4	1	1	43	5	3	2	44	3	2	2	1	1	2	1	1	4	4	3	1	2	2	1	1	3	1	20	1	2	2	3	3	3	3	3	6	-0.14	0.12
920	1	1	28	58	19	51	24	53	5	1	43	60	23	47	20	42	53	61	28	46	28	47	68	58	37	45	34	49	3.67	2.60	3.67	3.83	4.00	3.40	1.80	1.50	1	2	3	2	1	20	5	3	2	44	3	2	1	1	1	1	1	1	4	3	4	4	3	4	3	2	3	3	75	2	2	3	3	3	3	3	3	7	-0.13	0.10
921	1	1	16	42	16	46	34	65	5	6	33	53	34	58	33	58	39	53	36	54	41	63	54	50	46	53	43	61	3.00	3.80	2.67	2.50	3.25	2.60	1.20	1.00	1	1	4	1	1	18	5	5	2	44	3	2	3	1	3	3	3	1	4	4	4	4	4	3	4	4	4	4	100	2	1	3	3	3	3	3	3	7	-0.08	0.06
922	2	1	25	55	20	53	28	58	8	8	32	52	24	49	30	54	30	45	25	44	28	47	47	46	41	49	33	48	3.67	2.80	3.33	3.00	3.50	3.40	1.00	2.25	1	2	5	1	2	9	5	5	2	44	3	1	2	2	2	2	2	2	2	2	3	4	2	3	2	2	2	3	50	2	2	2	3	2	3	3	3	2	-0.14	0.14
923	2	1	22	51	15	44	17	44	4	7	30	50	27	51	19	41	29	43	36	55	10	20	52	49	44	52	26	40	3.50	2.80	2.67	3.17	3.75	3.50	1.80	1.25	1	2	4	1	1	30	5	3	2	44	3	1	4	2	3	3	4	2	4	3	2	3	4	2	2	1	2	2	50	2	1	2	3	3	3	3	3	0	-0.08	0.06
924	1	1	23	53	22	56	24	53	7	8	37	56	24	48	34	58	38	52	45	62	41	64	68	58	53	60	40	57	3.17	3.00	3.67	4.00	3.50	3.20	1.80	1.50	2	2	5	1	1	50	3	6	2	44	3	1	3	2	3	3	2	2	4	3	2	2	2	2	2	2	2	2	100	2	2	3	3	3	3	3	3	7	-0.10	0.70
925	1	1	22	51	21	54	25	55	9	6	33	53	37	61	35	60	44	56	41	59	37	58	66	57	56	62	37	53	3.67	3.00	4.00	2.83	2.75	2.80	1.60	1.00	2	2	5	1	1	50	3	6	2	44	3	1	3	2	3	3	2	2	4	2	2	2	2	2	2	2	2	3	100	2	2	3	3	3	3	3	3	7	-0.10	0.65
926	1	1	22	51	16	47	28	57	5	8	32	52	24	48	32	56	38	52	32	51	34	55	55	51	38	46	39	55	2.83	3.60	3.33	2.67	2.50	2.60	2.00	1.00	1	2	4	1	1	0	3	3	2	44	3	1	1	1	2	2	1	1	6	4	3	2	2	3	4	2	2	2	150	1	1	3	3	3	3	3	3	7	-0.14	0.44
927	1	4	20	48	21	54	26	56	6	8	32	51	26	50	26	50	32	47	34	53	24	42	48	47	38	46	30	45	3.00	2.60	4.00	2.67	2.50	2.40	2.00	1.67	1	2	4	1	2	120	5	5	2	44	3	1	1	1	1	1	1	2	4	2	2	2	2	3	1	2	1	1	25	1	2	3	3	3	3	3	3	2	-0.09	0.24
928	2	1	25	55	20	53	19	47	5	8	35	55	25	49	26	49	38	52	34	52	30	49	57	52	44	52	29	44	3.17	3.00	3.67	3.33	4.00	3.80	1.00	1.00	1	2	3	2	1	28	3	3	2	44	3	1	3	2	3	2	2	1	4	3	3	2	2	4	3	2	2	2	120	2	1	3	2	3	3	3	3	5	-0.12	0.95
929	2	1	28	58	22	55	28	58	7	7	37	56	38	62	35	60	47	58	37	55	39	61	66	57	52	59	40	57	3.33	3.00	4.00	3.17	2.25	3.00	2.20	1.75	1	2	3	2	1	33	5	3	2	44	3	2	1	1	1	1	1	1	4	3	3	4	3	3	4	4	3	3	65	2	2	3	3	3	3	3	3	4	-0.14	0.58
930	2	3	30	60	22	55	22	51	6	8	40	58	40	64	26	50	49	59	42	60	28	47	76	63	54	61	43	62	3.67	3.40	4.00	3.67	3.75	4.00	1.80	1.50	1	2	4	1	1	4	5	3	2	44	3	2	4	4	4	2	4	2	4	4	4	4	2	2	2	3	3	3	175	1	1	3	3	3	3	3	3	7	-0.07	0.56
931	1	3	32	62	29	62	23	52	6	6	36	55	25	49	32	56	45	57	36	54	24	43	54	50	48	55	34	50	2.67	3.00	2.33	3.33	3.75	3.00	2.00	2.00	2	2	6	1	2	0	6	2	1	44	3	2	2	2	3	2	3	2	6	2	3	4	2	3	1	1	2	2	25	2	2	3	3	3	3	3	3	7	-0.14	0.90
932	1	1	34	64	29	63	27	57	6	6	67	73	41	64	37	63	77	74	50	66	40	62	81	67	53	60	46	67	3.17	2.60	4.00	3.50	3.00	2.80	1.80	1.00	2	2	4	1	1	0	4	5	2	44	3	1	3	2	3	3	3	2	4	4	2	3	4	4	3	1	2	3	30	2	2	3	2	3	3	3	3	0	-0.07	0.19
933	1	2	23	52	25	59	27	57	5	6	55	67	48	70	24	48	62	65	48	64	35	56	75	62	57	65	44	63	3.17	3.40	4.00	3.33	3.25	3.20	1.60	1.00	1	2	4	1	1	7	3	6	2	44	3	1	1	1	1	2	1	1	6	4	4	3	1	4	3	1	3	4	100	2	2	2	2	2	3	3	3	7	-0.13	0.34
934	2	1	32	63	30	64	28	58	7	8	40	58	37	61	42	69	56	62	49	65	39	61	74	62	57	65	44	64	3.17	2.80	3.33	3.00	3.25	3.20	1.40	1.25	1	2	4	1	1	47	5	5	2	44	3	1	2	2	4	2	1	1	6	4	4	4	3	4	4	3	3	2	50	2	1	3	3	3	3	3	3	1	-0.13	0.40
935	1	1	29	60	20	53	24	53	6	6	35	55	30	54	25	48	46	57	40	58	30	50	62	55	47	55	29	43	2.67	3.20	4.00	3.67	4.00	3.80	1.00	1.00	1	2	5	1	1	13	5	3	2	44	3	2	2	1	1	2	1	1	4	3	2	4	3	3	3	1	2	3	70	2	2	3	3	3	3	3	3	5	-0.13	0.26
936	1	4	19	46	20	53	16	43	6	8	23	40	26	50	17	38	34	49	32	50	20	38	59	53	45	53	30	45	2.17	2.80	2.33	2.17	2.00	2.40	2.20	1.00	1	2	7	1	2	20	2	2	1	44	3	1	2	2	2	2	2	2	4	2	2	3	3	3	3	3	3	3	20	1	1	3	3	3	3	3	3	2	-0.07	0.61
937	1	8	23	52	24	58	23	52	5	6	34	53	31	55	30	54	40	54	34	53	32	52	57	52	44	51	38	54	3.00	2.60	4.00	4.00	3.75	3.80	1.00	1.00	2	2	4	1	1	50	5	5	2	44	3	1	3	2	3	2	3	3	3	2	4	4	4	4	2	1	3	2	30	2	1	3	3	3	3	3	3	1	-0.08	0.50
