caseid	gender	race	c1rrscal	c1rrttsco	c1rmscal	c1rmtsco	c1rgscal	c1rgtsco	c1fmotor	c1gmotor	c2rrscal	c2rrtsco	c2rmscal	c2rmtsco	c2rgscal	c2rgtsco	c3rrscal	c3rrtsco	c3rmscal	c3rmtsco	c3rgscal	c3rgtsco	c4rrscal	c4rrtsco	c4rmscal	c4rmtsco	c4rgscal	c4rgtsco	p1learn	p1contro	p1social	t1learn	t1contro	t1interp	t1extern	t1intern	p1center	p1disabl	p1htotal	p1hfamil	p1firkdg	p1hrsprk	wkmomed	wkdaded	wklangst	wksesl	wksesq5	s2kpupri	p1count	lower(az1)	p1pencil	p1still	p1letter	p1verbal	p1expect	p1readbo	p1tellst	p1singso	p1helpar	p1chores	p1games	p1nature	p1build	p1sport	p1chlboo	p1chsesa	p2librar	p2safepl	p2garbag	p2drug	p2burglr	p2violen	p2vacant	p2bktog	ses_orig	rv
1364	1	1	24	53	25	59	28	57	7	8	32	52	35	59	35	60	38	52	43	60	35	56	30	32	54	61	44	64	3.17	3.40	2.67	3.00	3.00	2.60	1.00	1.75	1	1	3	2	1	40	3	3	2	47	4	1	3	2	2	2	2	2	3	3	3	2	4	4	4	4	4	3	200	1	2	3	3	3	3	3	3	1	0.21	0.63
1365	2	2	24	54	16	47	15	40	5	8	30	50	21	44	22	45	37	52	23	42	11	23	51	49	35	42	20	34	2.50	3.00	3.33	2.67	3.25	3.00	1.20	1.00	2	2	4	1	1	0	6	6	2	47	4	1	4	4	3	2	2	2	6	3	2	3	3	2	2	2	2	2	80	1	1	3	3	3	3	3	3	7	0.23	0.36
1366	1	1	21	50	11	36	30	60	7	7	33	52	25	49	36	61	35	50	32	50	28	47	51	49	51	58	42	60	3.50	2.80	3.33	2.83	2.75	3.40	1.60	1.50	1	2	3	2	1	30	4	2	2	47	4	1	2	1	2	1	1	1	3	3	2	2	4	4	2	2	2	2	70	2	1	2	3	3	2	3	3	6	0.16	0.20
1367	1	1	17	43	21	54	30	60	4	6	32	52	31	55	29	53	33	48	32	50	30	50	68	58	45	53	41	59	4.00	3.80	4.00	3.00	2.50	3.40	1.60	1.00	1	1	3	2	1	35	5	3	2	47	4	1	2	1	3	3	2	1	6	3	3	4	2	3	3	2	2	2	50	2	2	3	3	3	3	3	3	2	0.19	0.06
1368	2	1	26	55	21	54	19	47	8	8	39	57	34	58	35	59	43	55	46	63	32	52	67	58	54	61	39	55	4.00	2.80	3.33	3.67	2.75	3.60	1.40	1.75	1	1	4	1	1	9	5	6	2	47	4	2	3	2	1	1	2	1	4	4	2	3	3	4	3	2	3	4	200	2	1	3	3	3	3	3	3	7	0.18	0.56
1369	2	1	37	66	27	61	31	62	7	8	43	60	40	64	35	59	52	60	42	60	39	60	71	60	49	56	44	64	3.17	3.60	4.00	3.67	3.75	3.80	1.60	1.25	2	2	5	1	1	0	3	6	2	47	4	2	2	1	1	1	2	1	4	3	2	2	3	4	2	2	2	4	20	1	1	3	3	3	3	3	3	7	0.15	0.28
1370	2	4	15	39	14	43	13	38	6	5	35	54	22	46	22	45	33	47	28	47	23	42	58	52	36	44	28	43	3.83	3.80	3.67	1.83	2.75	2.80	1.40	1.25	1	2	5	1	1	30	3	5	1	47	4	1	2	2	2	2	2	2	4	4	4	3	3	3	3	2	3	3	30	1	1	3	3	3	3	3	3	3	0.19	0.55
1371	1	1	22	50	20	52	21	50	8	7	30	49	38	61	27	51	31	46	39	57	31	51	61	54	49	56	33	49	3.67	3.00	3.67	2.50	2.67	2.20	1.00	2.75	1	2	3	2	1	12	7	5	2	47	4	1	4	2	2	2	2	1	6	4	2	4	2	4	2	3	3	3	150	1	2	2	3	3	2	3	3	5	0.17	0.26
1372	1	2	16	42	13	42	21	49	6	7	27	46	18	40	21	44	31	46	22	40	30	49	47	46	35	43	35	50	3.17	3.00	3.67	2.17	3.00	3.00	1.80	2.00	2	2	4	1	1	40	3	4	2	47	4	1	3	2	4	3	3	3	5	2	2	1	3	3	2	1	4	2	6	2	2	3	3	3	3	3	3	2	0.23	0.20
1373	2	1	14	38	11	37	12	36	6	6	26	44	16	36	18	39	24	37	21	39	20	37	35	37	39	47	25	39	3.50	2.40	3.00	2.17	3.50	3.20	1.20	2.25	2	2	4	1	1	0	5	2	2	47	4	1	3	2	3	2	3	2	4	3	2	3	3	4	3	2	2	3	10	2	2	3	3	3	3	3	3	2	0.16	0.76
1374	1	3	18	46	13	41	21	50	5	6	33	52	24	48	34	58	39	53	39	57	36	57	55	51	47	54	45	65	2.67	2.60	4.00	3.50	2.67	2.80	1.60	1.00	1	2	4	1	1	32	5	5	2	47	4	1	4	2	3	2	3	1	4	4	2	4	2	4	4	2	2	3	25	1	2	3	3	3	3	3	3	7	0.20	0.24
1375	1	1	21	49	21	54	30	60	7	8	30	49	28	52	33	57	36	51	31	50	29	49	55	51	34	41	37	53	2.67	3.00	3.33	2.83	4.00	3.80	1.00	1.75	1	2	4	1	1	58	6	5	2	47	4	2	3	2	2	2	2	2	4	4	3	3	2	2	3	3	3	3	75	2	1	3	3	3	3	3	3	7	0.18	0.56
1376	1	3	22	50	19	51	19	46	5	8	38	57	36	59	31	55	39	53	33	52	32	53	65	57	45	53	37	53	2.83	2.60	3.67	3.00	2.50	3.20	1.00	1.00	1	2	7	1	1	45	5	5	2	47	4	1	4	3	2	2	3	2	4	4	3	3	1	2	1	3	2	1	25	1	2	3	3	2	2	3	3	2	0.16	0.86
1377	1	1	21	49	19	52	17	43	7	5	21	38	30	54	23	45	34	49	33	51	27	47	65	57	49	56	38	55	4.00	3.80	4.00	3.00	3.25	3.00	2.00	1.50	1	2	4	1	1	15	5	3	2	47	4	2	2	2	1	2	3	2	4	4	3	4	4	4	3	3	4	3	200	1	1	3	3	3	3	3	3	2	0.22	0.18
1378	2	1	29	60	33	67	31	61	8	8	33	53	42	65	37	62	38	52	50	66	44	69	62	55	57	64	45	66	3.50	3.40	3.00	4.00	3.50	3.20	1.00	1.75	1	2	3	2	1	30	3	5	2	47	4	2	4	3	3	2	3	3	4	4	3	4	3	4	4	3	2	4	100	2	1	3	3	3	3	3	3	1	0.22	0.80
1379	2	1	21	49	21	55	21	49	8	5	25	44	34	58	35	60	36	51	35	53	37	59	66	57	47	54	43	62	3.50	2.40	3.67	3.50	3.50	2.60	1.00	1.75	1	2	4	1	1	15	6	6	2	47	4	2	3	2	3	2	3	2	4	4	4	4	3	4	3	3	3	3	101	1	2	3	3	3	3	3	3	7	0.19	0.07
1380	1	2	24	53	21	54	14	40	9	7	26	45	32	56	18	39	37	51	37	55	25	44	58	52	40	48	33	48	2.67	3.00	3.67	2.17	2.00	2.60	3.40	2.00	1	2	3	2	1	39	5	5	2	47	4	2	1	1	1	1	1	1	6	3	4	4	3	4	3	2	3	2	100	1	1	2	3	3	3	3	3	4	0.20	0.22
1381	1	2	29	59	17	49	16	42	2	8	32	51	25	49	23	46	47	57	31	50	26	45	56	52	40	48	30	45	3.00	2.60	3.67	3.50	2.75	2.80	1.20	1.25	1	2	3	2	1	45	5	3	2	47	4	1	2	2	2	1	2	2	4	3	3	4	2	2	2	2	1	2	50	1	1	2	3	3	3	3	3	1	0.16	0.10
1382	1	4	17	43	12	39	18	45	7	8	15	27	14	32	14	34	23	36	23	41	17	33	45	45	34	42	30	45	3.33	2.40	3.00	2.17	2.00	2.60	1.80	2.00	1	2	4	1	1	20	5	3	2	47	4	1	3	2	2	3	2	3	4	2	2	4	4	4	2	2	2	4	20	2	1	2	3	1	3	1	3	2	0.15	0.25
1383	2	1	18	45	23	57	23	52	5	8	30	49	31	55	30	54	36	50	39	57	30	50	63	55	54	61	37	53	2.50	2.40	3.33	3.50	2.50	2.40	2.20	1.00	1	2	5	1	1	40	6	3	2	47	4	1	3	1	2	2	3	2	4	3	3	3	2	2	3	2	1	2	100	2	2	3	3	3	3	3	3	2	0.23	0.68
1384	1	1	17	44	15	45	25	54	5	6	36	55	32	56	27	50	34	49	31	50	31	51	67	58	52	59	36	51	2.83	2.20	3.00	2.00	2.00	1.60	2.20	1.25	1	1	3	2	1	20	3	6	2	47	4	1	4	2	1	3	2	1	4	2	2	3	4	1	4	3	3	2	50	2	2	3	2	3	3	3	3	4	0.15	0.31
1385	1	1	21	49	15	44	29	58	3	5	28	48	21	44	26	50	33	47	25	43	36	57	50	48	40	47	38	55	3.33	3.40	3.67	2.00	2.25	2.00	2.60	1.50	2	2	5	1	1	0	5	5	2	47	4	1	2	1	3	2	1	2	3	3	1	3	2	4	2	2	2	3	75	2	2	3	3	3	3	3	3	7	0.21	0.98
1386	2	7	19	47	18	49	29	59	6	8	33	53	30	54	26	49	33	48	31	50	32	52	45	45	34	42	34	49	2.83	3.60	2.67	4.00	3.25	3.80	1.20	1.25	2	2	4	1	1	8	3	2	2	47	4	1	4	1	3	3	3	2	4	2	4	4	2	4	2	4	1	3	45	1	2	2	1	1	1	2	1	4	0.18	0.02
1387	1	7	15	39	11	38	12	37	3	8	28	47	15	33	20	41	28	42	17	32	24	43	34	36	25	32	28	43	3.67	1.60	4.00	1.17	4.00	2.00	1.20	1.50	1	2	6	1	1	56	5	5	2	47	4	1	2	2	2	3	2	2	4	3	3	4	1	4	2	4	2	2	20	1	2	3	2	1	3	3	3	7	0.19	0.91
1388	2	1	17	44	18	49	15	41	3	7	28	47	24	49	29	53	35	49	33	51	29	49	48	47	35	43	28	42	2.83	3.00	3.00	3.80	4.00	4.00	1.20	1.75	1	2	5	1	1	10	3	3	2	47	4	1	2	2	2	3	3	2	5	2	2	4	4	4	4	2	4	2	75	1	2	2	3	3	3	3	3	3	0.17	0.62
1389	1	2	79	88	36	69	30	60	8	8	64	71	38	61	36	61	81	76	46	63	38	60	83	69	57	65	44	63	3.50	3.20	3.33	2.33	2.50	2.20	2.40	1.75	1	1	4	1	1	10	5	4	2	47	4	1	1	2	1	1	2	2	4	4	4	4	2	4	4	1	2	3	60	1	1	1	3	3	3	3	3	1	0.22	0.57
1390	1	1	38	67	34	67	41	74	8	4	47	62	36	60	43	70	50	59	45	62	47	76	71	60	55	62	48	74	3.17	3.20	3.33	3.00	2.75	3.00	1.60	1.50	1	2	3	2	1	55	5	5	2	47	4	1	1	1	2	3	1	1	4	3	3	3	2	2	2	2	3	2	60	1	1	2	2	1	1	2	3	2	0.20	0.23
1391	1	3	19	46	17	47	35	66	8	8	47	62	32	56	40	67	55	62	40	58	44	68	76	63	46	54	46	68	3.17	3.00	3.00	3.67	3.75	3.75	1.20	1.25	2	2	4	1	1	21	8	3	2	47	4	2	4	2	4	2	4	3	4	3	2	3	4	3	2	2	3	2	100	1	1	2	3	3	2	3	3	0	0.21	0.06
1392	1	2	17	43	16	46	28	58	6	8	29	48	19	41	36	61	35	50	30	48	33	53	48	47	40	48	37	53	4.00	3.00	3.67	3.00	2.75	3.00	2.00	1.25	1	1	5	1	1	80	5	3	2	47	4	1	1	1	1	1	1	1	4	4	2	4	4	4	3	4	3	4	100	1	1	3	3	3	3	3	3	7	0.22	0.26
1393	1	1	27	57	22	56	30	61	3	5	34	54	38	62	34	58	38	52	43	60	39	61	70	59	56	62	42	60	3.33	3.20	3.33	3.50	2.00	1.60	3.80	1.75	1	2	3	2	1	12	3	5	2	47	4	2	2	2	2	2	2	2	6	4	2	2	2	4	2	2	2	2	100	1	1	3	3	3	3	3	3	2	0.17	0.68
1394	1	1	19	47	13	41	25	55	3	6	37	56	21	45	32	56	33	48	28	47	35	55	64	56	44	52	42	60	2.83	2.60	3.33	1.50	1.25	1.60	3.80	1.00	1	2	4	1	1	25	5	6	2	47	4	2	1	1	2	2	1	2	4	3	4	3	4	2	2	2	2	4	100	2	1	3	3	3	3	3	3	3	0.18	0.20
1395	2	7	16	42	13	40	18	45	6	3	26	44	20	43	23	46	29	44	31	49	25	44	52	49	42	50	29	44	2.67	2.60	3.00	3.17	2.00	2.20	2.00	2.00	1	1	3	3	1	55	5	5	2	47	4	1	2	2	2	2	3	2	4	2	4	3	2	4	4	4	2	4	50	1	2	3	3	3	3	3	3	7	0.17	0.51
1396	2	4	18	45	22	56	25	54	8	8	39	57	34	58	31	55	38	52	38	56	33	53	57	52	51	58	37	53	3.33	3.20	3.33	3.00	3.33	2.60	1.40	1.33	1	2	5	1	1	37	5	6	2	47	4	1	2	2	2	2	3	2	4	3	1	3	2	4	4	2	2	3	150	1	1	3	3	3	3	3	3	7	0.19	0.29
1397	2	1	23	52	31	64	19	47	6	6	41	59	36	59	26	50	39	53	33	52	31	51	64	56	46	54	40	57	2.50	3.20	4.00	2.80	3.33	2.80	1.00	1.00	1	2	4	1	1	12	6	6	2	47	4	1	3	2	3	3	2	2	4	3	3	3	2	3	2	2	2	3	80	1	2	3	3	3	3	3	3	3	0.19	0.65
1398	2	2	13	34	12	39	14	39	2	8	16	30	13	30	15	36	21	33	22	40	18	35	32	34	32	39	25	39	3.00	2.00	3.33	2.17	3.00	2.60	1.60	1.50	2	2	7	3	1	9	5	6	2	47	4	1	2	2	2	2	2	2	4	3	3	4	4	4	3	3	2	1	30	1	2	3	1	1	3	3	2	2	0.22	0.79
1399	2	3	23	52	15	45	9	30	4	1	22	40	17	38	10	25	29	44	15	28	9	17	47	46	18	20	13	23	3.00	2.80	3.33	2.00	2.50	2.20	2.00	2.00	1	1	4	1	1	45	3	5	2	47	4	2	2	2	2	3	2	2	3	2	3	2	3	3	3	2	2	3	45	1	1	3	3	3	3	3	3	2	0.16	0.03
1400	2	3	15	40	15	45	22	51	6	6	32	52	31	55	28	52	41	54	35	53	34	55	53	50	43	50	34	50	3.00	2.40	3.33	2.83	4.00	4.00	1.40	1.25	1	2	6	1	1	0	5	5	2	47	4	1	3	1	2	3	3	1	4	4	2	4	4	3	2	2	2	3	100	2	2	3	3	3	3	3	3	6	0.15	0.55
1401	2	2	27	57	20	52	11	34	4	8	46	62	24	48	19	41	59	64	30	49	17	34	70	60	40	48	27	42	3.33	2.20	3.67	2.17	2.00	2.00	2.40	2.00	1	2	4	5	1	20	5	4	2	47	4	2	2	2	2	3	2	2	4	4	3	4	3	2	3	2	3	3	50	1	2	2	3	3	3	3	3	5	0.15	0.55
1402	2	5	25	55	17	48	14	40	6	7	41	59	31	55	17	38	55	62	39	57	23	42	69	59	45	53	28	42	3.33	2.00	2.67	3.00	3.33	2.80	1.40	1.00	1	2	4	1	1	35	6	5	1	47	4	1	2	2	2	5	5	2	4	4	4	4	4	2	4	4	4	4	200	1	1	3	3	3	3	3	3	2	0.20	0.93
1403	2	3	37	67	29	62	28	58	9	8	41	59	40	64	31	55	47	58	43	60	36	57	64	56	56	63	46	68	3.17	2.80	3.67	4.00	4.00	3.60	1.80	1.75	2	2	4	1	1	0	5	5	2	47	4	1	2	2	2	3	2	2	6	4	4	3	3	3	3	3	2	3	100	2	2	2	3	3	3	3	3	4	0.18	0.16
1404	1	3	33	63	29	63	34	65	9	8	41	59	43	66	35	60	48	58	40	58	37	58	55	51	57	65	44	64	3.17	3.00	4.00	3.33	3.25	3.20	1.20	1.25	1	2	4	1	1	9	5	5	2	47	4	1	4	3	3	2	3	2	4	4	3	4	3	4	4	3	3	3	50	2	1	3	3	3	3	3	3	7	0.15	0.29
1405	1	5	32	63	29	63	21	50	9	8	41	59	47	69	29	52	39	53	39	57	31	51	59	53	54	61	36	52	2.50	3.60	3.33	4.00	4.00	3.40	1.00	1.00	2	2	3	2	1	0	2	6	2	47	4	1	3	2	2	3	2	2	3	4	2	1	2	4	2	1	2	2	20	2	1	3	3	3	3	3	3	1	0.19	0.27
1406	1	1	16	42	16	46	19	47	6	6	33	53	31	55	26	49	38	52	38	56	31	51	73	62	49	56	39	56	3.33	2.80	4.00	2.83	3.00	2.40	1.60	1.00	2	2	3	2	1	36	5	3	2	47	4	1	4	1	1	1	1	1	3	2	2	4	2	4	2	1	2	2	25	2	2	3	3	3	3	3	3	4	0.19	0.55
1407	1	1	29	59	24	58	20	49	6	4	49	64	31	54	24	47	58	63	42	60	33	53	68	58	51	58	38	54	3.67	3.40	3.67	3.67	3.50	3.80	1.60	1.25	2	2	3	2	1	0	5	5	2	47	4	1	1	1	1	1	1	1	3	4	4	3	3	4	3	3	3	3	80	1	1	3	3	3	3	3	3	7	0.18	0.59
1408	2	5	32	63	22	56	19	47	9	8	52	65	28	52	23	46	70	69	39	57	27	46	78	65	47	54	33	49	3.67	2.40	4.00	4.00	4.00	4.00	1.00	1.00	2	2	6	1	1	0	5	8	1	47	4	1	1	1	1	1	1	1	4	4	4	4	3	4	4	3	4	3	200	1	1	3	3	3	3	3	3	4	0.18	0.46
1409	1	1	64	80	39	72	31	61	8	8	69	74	53	74	38	64	74	72	55	70	44	68	83	69	60	69	42	59	3.67	3.20	3.33	3.17	2.75	3.00	3.00	2.00	1	2	3	2	1	15	3	5	2	47	4	2	3	1	2	1	2	2	4	3	3	3	3	4	3	3	3	3	50	2	1	3	3	3	3	3	3	5	0.19	0.51
1410	1	1	36	66	39	72	39	70	7	8	44	61	46	68	43	71	62	65	54	70	42	65	77	64	59	68	45	67	3.33	2.60	3.67	4.00	3.50	3.60	1.60	1.00	1	2	4	1	1	40	5	3	2	47	4	2	2	2	3	2	3	2	4	4	3	3	2	2	3	2	2	3	75	2	1	3	3	3	3	3	3	7	0.17	0.51
1411	1	3	35	65	24	58	26	56	7	6	42	60	33	57	30	54	59	64	35	54	38	60	72	61	46	54	42	60	3.83	2.60	3.67	3.17	3.50	3.60	1.40	1.00	2	2	3	2	1	16	3	5	2	47	4	2	2	2	2	2	2	2	5	4	2	4	2	4	4	4	4	3	100	1	1	3	3	3	2	3	3	7	0.22	0.77
1412	2	1	28	58	24	58	25	54	7	4	40	58	23	47	34	58	36	51	25	44	33	53	64	56	45	52	36	52	3.17	2.60	4.00	3.83	3.75	4.00	1.40	1.25	1	2	4	1	1	5	5	5	2	47	4	1	3	2	3	3	2	2	3	4	2	2	3	3	3	2	2	3	110	1	2	3	3	3	2	2	3	7	0.24	0.24
1413	1	1	34	64	25	59	28	58	7	8	37	56	27	51	35	60	43	55	46	63	39	61	71	60	48	55	40	57	3.50	3.40	3.67	3.83	3.50	4.00	1.25	1.25	1	2	5	1	1	6	5	5	2	47	4	1	3	1	2	1	3	2	4	4	4	3	3	3	4	4	3	3	200	1	1	3	3	3	2	3	3	7	0.21	0.88
1414	1	1	21	49	16	46	31	61	8	8	26	45	26	50	37	63	31	46	33	52	38	60	64	56	43	51	34	50	2.50	2.80	3.33	2.00	2.00	2.25	1.60	1.75	1	2	4	1	1	45	5	3	2	47	4	2	3	2	3	2	3	2	4	4	2	3	2	3	2	2	3	2	200	1	2	3	3	3	3	3	3	2	0.21	0.45
1415	1	2	12	33	13	41	18	45	0	5	22	39	19	42	34	58	23	36	21	39	33	54	38	40	31	39	36	51	2.83	3.40	3.33	2.33	2.00	2.20	2.60	1.25	1	2	6	1	1	12	5	3	2	47	4	1	2	1	1	2	2	1	4	2	2	2	2	3	2	2	3	3	50	1	2	3	3	3	3	3	3	5	0.17	0.93
1416	1	1	25	54	25	59	24	53	7	8	33	53	37	61	37	63	35	50	33	52	42	65	50	48	51	58	41	59	3.17	2.40	3.67	3.33	2.75	2.80	2.60	2.00	1	2	4	1	1	40	5	3	2	47	4	1	2	1	1	1	2	2	4	3	2	2	2	3	2	1	2	2	200	1	1	3	3	3	3	3	3	5	0.17	0.17
1417	1	4	20	49	16	47	7	21	6	8	22	40	20	42	14	33	31	45	23	41	13	28	52	49	25	31	12	22	3.00	3.80	3.33	3.17	3.75	3.40	1.00	1.00	1	2	4	1	1	20	5	5	1	47	4	1	2	2	2	2	2	2	4	2	1	2	4	4	4	2	1	1	15	1	1	2	3	3	3	3	3	1	0.15	0.99
1418	1	1	15	39	20	52	18	45	5	7	31	51	25	49	19	41	38	52	27	45	23	42	68	58	49	56	28	42	3.00	2.40	3.33	3.00	2.50	2.00	2.00	1.25	1	2	6	1	1	40	5	3	2	47	4	1	3	2	2	2	3	2	5	3	3	4	2	3	2	4	3	3	200	2	2	3	3	3	3	3	3	4	0.17	0.12
1419	2	1	21	50	20	53	23	52	3	8	26	44	30	54	21	43	35	50	29	47	29	49	63	55	40	48	34	49	2.67	2.40	3.33	3.67	4.00	4.00	1.00	1.00	2	2	5	1	1	0	2	6	2	47	4	1	3	2	3	3	3	2	2	2	2	3	2	3	3	4	3	3	15	1	2	3	3	3	3	3	3	5	0.22	0.14
1420	1	1	14	39	15	44	20	48	3	6	23	40	19	40	16	37	30	44	26	45	28	47	39	41	29	36	27	42	3.00	3.00	3.00	1.67	3.00	2.60	2.40	2.00	1	1	5	1	1	8	5	3	2	47	4	1	1	2	1	1	2	1	4	4	2	4	3	4	3	2	3	3	75	1	1	3	3	3	2	3	2	7	0.17	0.77
1421	2	1	30	60	22	55	30	60	6	5	32	52	25	50	29	53	40	54	28	47	38	60	58	52	46	53	42	60	3.33	2.80	3.67	2.83	3.00	3.00	1.40	2.25	2	2	4	1	1	0	5	5	2	47	4	1	1	1	1	2	1	2	4	4	3	4	2	2	2	3	2	2	100	1	1	3	3	3	3	3	3	7	0.18	0.70
1422	2	1	55	76	40	73	40	73	7	6	71	75	51	73	44	72	79	75	54	70	46	72	82	68	60	70	48	73	3.83	2.60	4.00	3.50	3.25	3.60	1.40	1.25	2	2	4	1	1	0	4	5	2	47	4	1	2	1	2	1	2	1	4	4	2	3	4	4	3	4	4	3	150	1	2	2	2	3	3	3	3	3	0.18	0.15
1423	1	2	22	51	18	50	19	47	6	8	35	54	23	47	28	52	32	47	31	49	30	49	53	50	44	51	33	49	3.33	2.80	3.00	3.17	3.75	2.80	1.60	1.75	1	2	4	1	1	8	5	5	2	47	4	1	3	2	3	2	2	2	6	4	4	4	3	3	2	4	3	2	30	2	1	2	3	3	3	3	3	7	0.18	0.51
1424	2	1	21	49	17	47	18	46	5	8	27	46	19	42	20	42	28	43	26	45	21	39	49	47	32	39	29	43	3.67	3.00	4.00	4.00	3.50	4.00	1.20	1.25	1	2	4	1	1	15	3	6	2	48	4	1	3	2	3	2	3	2	5	3	3	2	3	3	3	2	2	3	100	2	2	2	3	3	3	3	3	7	0.30	0.48
1425	1	1	22	51	25	59	27	57	9	6	32	52	35	59	30	54	37	52	45	62	34	54	51	48	58	65	44	64	3.17	3.40	3.00	3.67	3.50	4.00	1.00	1.25	1	2	5	1	1	45	6	3	2	48	4	1	3	3	3	3	3	2	3	3	2	4	2	4	2	1	1	2	100	1	2	3	3	3	3	3	3	2	0.30	0.03
1426	2	4	32	62	21	54	29	59	5	8	70	74	36	59	30	55	79	75	38	56	39	61	80	66	46	54	37	53	3.17	1.80	3.33	3.67	3.50	3.20	1.00	1.25	2	2	4	1	2	0	5	3	1	48	4	1	2	2	2	2	2	2	3	4	4	3	2	2	2	2	3	3	100	1	1	2	3	3	3	3	3	2	0.33	0.53
1427	1	1	16	43	18	50	21	50	6	5	23	41	36	60	29	53	29	43	44	61	30	50	56	51	56	63	38	54	3.00	2.80	2.33	2.33	3.33	2.60	1.80	1.00	1	2	6	1	1	15	5	5	2	48	4	1	2	3	2	3	3	2	4	3	3	4	4	4	3	3	4	2	150	1	2	3	3	3	3	3	3	7	0.28	0.36
1428	2	1	30	61	32	65	34	65	7	6	47	62	40	63	39	65	52	61	54	70	43	66	73	61	56	63	42	60	3.83	3.00	3.67	3.83	3.50	3.40	1.20	1.25	1	2	4	1	1	7	6	5	2	48	4	1	3	2	3	2	2	2	4	3	4	4	2	4	2	1	2	2	100	1	1	3	3	3	3	3	3	7	0.27	0.36
1429	1	3	22	51	20	53	21	50	6	8	32	52	24	49	25	48	35	50	31	49	33	53	66	57	51	58	33	48	2.50	1.80	3.33	1.67	2.25	2.40	3.25	3.25	1	1	4	1	1	5	3	5	2	48	4	1	3	2	2	2	3	1	3	3	3	4	3	2	3	2	2	1	25	2	2	2	3	3	2	3	3	0	0.29	0.20
1430	2	1	40	69	34	67	31	62	8	8	60	69	37	60	33	58	65	67	48	64	34	55	75	63	50	57	40	58	3.17	3.20	3.33	4.00	4.00	4.00	1.00	1.25	1	2	4	1	1	7	3	5	2	48	4	2	3	2	3	1	2	1	6	4	3	4	4	4	3	4	3	2	100	2	2	3	3	3	3	3	3	2	0.34	0.20
1431	1	1	22	50	22	55	36	68	6	3	37	56	33	57	37	62	41	54	43	61	39	61	62	55	53	60	46	67	3.17	3.60	4.00	3.83	3.75	3.80	1.40	1.25	1	2	4	1	1	47	3	6	2	48	4	1	2	2	3	3	2	2	4	4	4	2	4	4	4	3	2	2	150	2	1	3	3	3	3	3	3	5	0.25	0.13
1432	2	1	22	51	20	53	25	54	8	6	30	50	34	57	33	58	35	49	31	50	38	60	49	47	34	42	41	58	3.00	2.80	3.67	4.00	4.00	3.80	1.00	2.00	1	2	6	1	1	7	3	5	2	48	4	1	2	2	3	1	2	2	4	4	2	2	2	2	2	3	3	1	50	2	2	3	3	3	3	3	3	2	0.34	0.58
1433	1	1	22	50	19	52	21	49	5	1	29	48	28	52	33	57	33	47	30	48	30	50	55	51	45	53	38	54	3.50	3.00	4.00	3.83	4.00	4.00	1.80	1.00	1	2	4	1	1	12	4	5	2	48	4	2	2	2	2	2	2	2	4	3	4	4	3	4	3	3	3	3	100	1	2	3	3	3	3	3	3	3	0.33	0.00
1434	2	1	17	43	15	44	23	52	6	6	28	47	24	48	29	53	42	55	36	54	37	58	50	48	45	53	38	55	3.83	2.40	3.33	3.17	3.50	2.50	1.00	1.00	1	2	4	1	1	13	5	3	2	48	4	2	3	2	3	3	2	2	4	4	4	3	3	3	4	2	3	3	50	1	1	3	3	3	3	3	3	1	0.34	0.51
1435	2	1	27	57	18	50	32	63	7	6	46	62	33	57	35	60	58	64	30	48	35	56	77	64	43	51	39	56	3.50	2.80	2.67	3.33	3.00	3.00	1.60	1.25	1	1	3	2	1	36	6	3	2	48	4	2	2	2	2	2	2	2	4	4	4	2	3	3	3	2	2	4	200	1	2	3	3	3	3	3	3	7	0.26	0.93
1436	1	1	24	54	23	56	25	55	8	8	42	59	36	60	32	56	41	54	43	61	38	59	67	58	55	62	43	62	2.50	2.80	3.67	2.83	2.25	2.40	2.00	1.75	1	2	4	1	1	9	3	6	2	48	4	1	2	2	2	2	2	2	4	2	2	2	2	4	2	2	2	2	100	2	2	3	3	3	3	3	3	7	0.34	0.38
1437	2	1	22	51	24	58	23	52	3	5	35	55	35	59	22	45	37	51	45	62	27	46	61	54	51	58	37	54	3.50	3.20	4.00	3.00	2.50	3.00	2.25	1.25	1	2	4	1	1	25	3	8	2	48	4	2	1	1	2	1	3	1	4	2	4	3	2	3	3	1	1	2	30	2	2	3	3	3	3	3	3	5	0.25	0.09
1438	2	1	26	55	16	46	11	33	6	8	30	50	15	34	18	39	33	47	23	42	22	40	53	50	38	46	24	38	3.33	3.40	3.00	2.17	3.75	2.40	1.20	3.75	1	2	3	2	1	7	5	5	2	48	4	2	1	2	2	2	2	2	3	4	3	4	4	4	3	3	1	3	100	2	1	3	2	3	3	3	3	3	0.29	0.05
1439	2	1	33	64	34	67	36	67	8	8	60	69	48	70	41	68	65	67	46	63	44	70	75	62	58	66	46	69	3.83	3.20	3.33	4.00	4.00	4.00	1.00	1.00	1	2	3	2	1	28	5	5	2	48	4	1	2	2	1	2	1	1	4	4	2	2	3	4	3	2	3	4	100	1	1	3	3	3	3	3	3	7	0.29	0.99
1440	2	1	22	51	16	46	26	55	7	8	24	42	20	43	28	51	36	51	29	47	33	54	41	42	39	47	40	57	3.00	2.60	3.67	2.50	3.25	2.40	2.20	2.00	1	2	5	1	1	6	3	5	2	48	4	1	3	1	1	1	3	1	4	3	3	4	3	4	3	4	3	4	75	1	1	3	3	3	3	3	3	7	0.32	0.58
