id	gender	race	c1rrscal	c1rrscala	c1rrtsco	c1rmscal	c1rmtsco	c1rgscal	c1rgtsco	c1fmotor	c1gmotor	c2rrscal	c2rrtsco	c2rmscal	c2rmtsco	c2rgscal	c2rgtsco	c3rrscal	c3rrtsco	c3rmscal	c3rmtsco	c3rgscal	c3rgtsco	c4rrscal	c4rrtsco	c4rmscal	c4rmtsco	c4rgscal	c4rgtsco	p1learn	p1contro	p1social	t1learn	t1contro	t1interp	t1extern	t1intern	p1center	p1disabl	p1htotal	p1hfamil	p1firkdg	p1hrsprk	wkmomed	wkdaded	wklangst	wksesl	wksesq5	s2kpupri	p1count	p1share	p1pencil	p1still	p1letter	p1verbal	p1expect	p1readbo	p1tellst	p1singso	p1helpar	p1chores	p1games	p1nature	p1build	p1sport	p1chlboo	p1chsesa	p2librar	p2safepl	p2garbag	p2drug	p2burglr	p2violen	p2vacant	p2bktog	ses_orig																																																																																																																																																																																			
14.00	1	1	23	23	52	21	55	27	56	7	7	27	46	28	53	23	46	33	48	33	51	26	46	46	46	35	43	34	49	3.00	2.60	2.67	3.00	3.25	3.00	1.00	1.25	2	2	5	1	1	0	5	5	2	48	4	2	1	2	1	1	1	1	4	3	1	3	2	4	3	2	2	3	50	1	2	3	3	3	3	3	3	3	0.28																																																																																																																																																																																			
15.00	1	1	21	21	49	25	59	28	58	6	8	34	53	30	54	29	53	38	52	36	54	31	51	52	49	49	56	38	54	4.00	3.20	2.67	3.17	3.50	3.20	1.00	1.75	1	2	6	1	1	30	3	3	2	40	2	1	3	2	2	2	3	1	2	3	3	3	3	3	2	2	3	2	50	2	2	2	3	3	3	3	3	7	-0.51																																																																																																																																																																																			
16.00	2	1	33	33	64	34	68	25	54	5	5	40	58	39	63	38	63	53	61	47	63	38	59	74	62	57	65	46	68	3.00	3.20	3.33	3.83	4.00	3.80	1.00	1.25	1	2	4	1	1	9	5	6	2	49	4	1	3	2	2	2	2	1	4	4	2	3	3	4	2	3	2	2	100	1	2	2	3	3	3	3	3	2	0.36																																																																																																																																																																																			
17.00	2	1	23	23	52	25	59	20	49	8	8	36	56	34	58	29	53	51	60	48	64	33	53	77	64	53	60	40	58	3.33	2.60	4.00	4.00	4.00	4.00	1.00	1.50	2	2	5	1	1	0	3	3	2	42	3	2	3	1	1	1	1	1	3	2	2	4	2	3	2	3	1	3	100	1	2	2	3	3	3	3	3	7	-0.30																																																																																																																																																																																			
18.00	2	1	22	22	51	22	55	26	56	7	7	35	55	31	55	30	54	38	52	28	47	35	56	73	61	54	61	40	57	2.50	2.80	4.00	2.83	3.00	2.80	1.60	1.25	2	2	4	1	1	0	6	6	2	50	4	2	4	3	3	3	3	2	4	4	4	3	4	4	3	3	3	2	200	1	2	3	3	3	3	2	3	3	0.52																																																																																																																																																																																			
19.00	1	1	35	35	65	36	69	31	61	8	5	42	60	44	67	34	58	47	57	48	65	37	59	70	60	57	64	43	62	3.17	3.40	3.00	3.33	3.50	2.80	1.00	1.00	1	2	4	1	1	13	6	8	2	54	5	2	2	2	3	2	2	2	4	3	3	4	3	2	4	3	4	3	100	2	1	2	3	3	3	3	3	5	0.86																																																																																																																																																																																			
20.00	1	1	24	24	54	49	80	26	55	7	8	37	56	56	76	30	54	48	58	59	76	32	52	66	57	58	66	37	53	3.33	2.60	2.33	2.67	3.00	2.00	1.20	2.50	1	2	5	1	1	8	7	7	2	59	5	1	2	1	2	3	2	1	4	3	3	3	2	3	2	2	4	3	200	2	1	3	3	3	3	3	3	7	1.38																																																																																																																																																																																			
21.00	2	1	36	36	66	26	60	35	66	8	6	52	65	36	60	34	59	63	66	32	50	39	61	66	57	41	49	43	61	3.17	3.40	4.00	3.00	2.75	3.20	1.40	1.25	1	1	5	1	1	9	6	6	2	52	5	1	2	2	3	2	2	2	4	4	3	4	4	4	3	3	2	4	200	2	1	3	3	3	3	3	3	5	0.69																																																																																																																																																																																			
22.00	2	1	33	33	64	25	59	19	47	4	8	39	58	34	57	31	55	50	59	42	60	35	56	70	59	50	57	37	52	3.17	3.40	3.33	4.00	4.00	3.60	1.00	1.00	1	2	4	1	1	14	5	3	2	46	4	1	1	2	1	2	2	1	4	3	2	2	1	3	2	1	1	2	150	1	2	3	3	3	3	3	3	5	0.08																																																																																																																																																																																			
23.00	1	1	35	35	65	33	66	31	61	5	8	41	59	37	61	34	59	45	57	37	55	40	63	77	64	55	62	39	56	3.83	3.40	3.67	4.00	4.00	4.00	1.00	1.00	2	2	5	1	1	0	4	9	2	41	2	1	1	1	1	1	1	1	6	4	3	3	4	4	4	3	2	4	200	2	1	3	3	3	2	3	3	7	-0.39																																																																																																																																																																																			
24.00	1	1	15	15	41	11	36	16	43	6	5	27	46	24	48	33	57	32	47	26	45	36	57	58	53	49	56	40	57	3.17	1.60	3.67	2.17	1.75	2.40	3.40	2.00	1	2	5	1	1	20	2	2	2	37	1	1	3	1	1	1	1	1	3	3	2	2	2	3	2	1	1	2	30	2	2	3	3	3	3	3	3	2	-0.76																																																																																																																																																																																			
25.00	1	1	20	20	48	16	46	19	47	4	6	28	47	23	46	20	42	32	47	26	45	29	48	43	44	42	50	35	51	2.33	3.20	3.00	2.17	3.33	2.50	1.20	1.50	2	1	6	1	1	0	2	3	2	39	2	1	1	1	1	1	1	1	3	3	3	2	2	2	2	3	3	3	200	1	2	3	3	3	3	3	3	7	-0.60																																																																																																																																																																																			
26.00	1	1	25	25	55	27	61	18	45	6	6	30	50	34	58	25	48	34	49	43	60	29	49	56	52	53	60	39	55	2.50	3.00	2.67	2.83	2.00	2.40	1.20	1.25	2	2	4	1	2	35	7	6	1	46	4	1	1	2	2	3	2	2	4	4	4	2	2	1	2	2	2	2	40	1	2	3	3	3	3	3	3	7	0.14																																																																																																																																																																																			
27.00	1	1	20	20	48	16	46	30	60	7	4	48	63	34	58	35	60	44	56	40	58	40	62	74	62	51	58	43	62	3.50	2.80	3.00	2.33	2.75	2.20	1.20	2.00	1	2	5	1	1	24	6	8	2	53	5	1	3	2	2	1	3	1	4	4	4	2	2	3	3	2	3	3	60	2	1	3	3	3	3	3	3	7	0.81																																																																																																																																																																																			
28.00	1	1	33	33	64	25	59	29	59	7	8	36	55	34	58	32	56	46	57	47	64	36	57	67	58	42	50	38	54	3.50	2.80	3.33	3.00	3.25	3.20	1.00	1.25	2	2	4	1	1	0	3	5	2	47	4	1	1	1	2	2	2	1	5	4	2	3	3	2	3	3	3	3	100	1	1	3	2	3	3	3	3	7	0.17																																																																																																																																																																																			
29.00	1	1	18	18	45	14	43	19	46	5	8	31	50	25	49	25	48	36	50	33	51	26	45	49	47	41	49	34	49	3.00	3.60	4.00	2.50	3.33	3.00	1.20	1.25	2	1	4	1	1	0	5	5	2	45	3	1	2	2	2	2	2	2	4	4	4	4	3	4	2	2	3	4	100	2	1	3	3	3	3	3	3	4	0.00																																																																																																																																																																																			
30.00	2	1	22	22	51	26	60	21	50	8	6	38	57	30	54	24	47	41	54	37	55	31	51	64	56	43	50	33	48	2.83	2.80	3.00	3.83	4.00	3.80	1.00	1.25	2	2	5	1	1	0	5	8	2	56	5	1	2	2	2	2	2	2	4	3	4	3	2	3	2	1	1	2	75	1	1	3	3	3	3	3	3	7	1.05																																																																																																																																																																																			
